Date,Panel_ID,Energy_Produced_kWh,Expected_Energy_kWh,Temperature_C,Energy_Loss_kWh,Efficiency_Percent,Month,Day,Performance_Status
2024-01-26,Panel_A,21.9,23.19,20.5,1.2900000000000027,94.43725743855109,2024-01,26,Good
2024-01-12,Panel_C,17.5,20.17,24.5,2.6700000000000017,86.76251859196826,2024-01,12,Average
2024-02-26,Panel_E,21.14,22.1,24.1,0.9600000000000009,95.65610859728505,2024-02,26,Good
2024-01-14,Panel_B,26.83,28.87,32.8,2.0400000000000027,92.93384135781086,2024-01,14,Good
2024-01-23,Panel_E,18.47,21.73,28.0,3.2600000000000016,84.9976990335941,2024-01,23,Average
2024-02-26,Panel_D,19.86,25.95,35.0,6.09,76.53179190751445,2024-02,26,Average
2024-01-27,Panel_C,24.25,28.58,35.0,4.329999999999998,84.84954513645907,2024-01,27,Average
2024-02-21,Panel_E,24.92,27.22,32.8,2.299999999999997,91.55033063923587,2024-02,21,Good
2024-01-08,Panel_C,20.83,21.61,36.2,0.7800000000000011,96.39055992596019,2024-01,8,Good
2024-02-27,Panel_C,21.36,24.53,28.8,3.1700000000000017,87.0770485120261,2024-02,27,Average
2024-01-17,Panel_B,17.86,23.7,38.6,5.84,75.35864978902953,2024-01,17,Average
2024-02-19,Panel_B,20.41,24.39,29.3,3.9800000000000004,83.68183681836818,2024-02,19,Average
2024-02-24,Panel_E,19.63,23.33,30.7,3.6999999999999993,84.14059151307329,2024-02,24,Average
2024-01-22,Panel_D,27.18,29.55,31.1,2.370000000000001,91.97969543147208,2024-01,22,Good
2024-02-25,Panel_D,21.14,24.98,38.3,3.84,84.62770216172937,2024-02,25,Average
2024-02-23,Panel_B,25.95,26.97,34.1,1.0199999999999996,96.21802002224695,2024-02,23,Good
2024-01-01,Panel_D,20.44,27.08,39.4,6.639999999999997,75.48005908419498,2024-01,1,Average
2024-01-17,Panel_A,28.5,29.4,38.3,0.8999999999999986,96.9387755102041,2024-01,17,Good
2024-02-07,Panel_A,18.76,24.03,20.6,5.27,78.06908031627134,2024-02,7,Average
2024-02-06,Panel_C,19.12,21.14,30.4,2.0199999999999996,90.44465468306528,2024-02,6,Good
2024-01-19,Panel_B,21.38,29.13,30.0,7.75,73.39512530037761,2024-01,19,Needs Attention
2024-01-19,Panel_A,26.3,28.09,37.3,1.7899999999999991,93.62762548949804,2024-01,19,Good
2024-02-12,Panel_E,18.25,22.11,22.4,3.8599999999999994,82.54183627317956,2024-02,12,Average
2024-02-12,Panel_A,25.93,27.13,30.2,1.1999999999999993,95.57685219314412,2024-02,12,Good
2024-01-15,Panel_E,17.48,20.94,25.3,3.460000000000001,83.47659980897802,2024-01,15,Average
2024-02-29,Panel_C,26.87,28.56,27.9,1.6899999999999977,94.0826330532213,2024-02,29,Good
2024-02-04,Panel_D,19.06,21.5,27.6,2.4400000000000013,88.65116279069767,2024-02,4,Average
2024-01-21,Panel_C,20.74,25.16,29.5,4.420000000000002,82.43243243243242,2024-01,21,Average
2024-01-14,Panel_A,21.54,23.49,37.9,1.9499999999999993,91.69859514687101,2024-01,14,Good
