Date,Panel_ID,Energy_Produced_kWh,Expected_Energy_kWh,Temperature_C
2024-01-26,Panel_A,21.9,23.19,20.5
2024-01-12,Panel_C,17.5,20.17,24.5
2024-02-26,Panel_E,21.14,22.1,24.1
2024-01-14,Panel_B,26.83,28.87,32.8
2024-01-23,Panel_E,18.47,21.73,28.0
2024-02-26,Panel_D,19.86,25.95,35.0
2024-01-27,Panel_C,24.25,28.58,35.0
2024-02-21,Panel_E,24.92,27.22,32.8
2024-01-08,Panel_C,20.83,21.61,36.2
2024-02-27,Panel_C,21.36,24.53,28.8
2024-01-17,Panel_B,17.86,23.7,38.6
2024-02-19,Panel_B,20.41,24.39,29.3
2024-02-24,Panel_E,19.63,23.33,30.7
2024-01-22,Panel_D,27.18,29.55,31.1
2024-02-25,Panel_D,21.14,24.98,38.3
2024-02-23,Panel_B,25.95,26.97,34.1
2024-01-01,Panel_D,20.44,27.08,39.4
2024-01-17,Panel_A,28.5,29.4,38.3
2024-02-07,Panel_A,18.76,24.03,20.6
2024-02-06,Panel_C,19.12,21.14,30.4
2024-01-19,Panel_B,,29.13,30.0
2024-01-19,Panel_A,26.3,28.09,37.3
2024-02-12,Panel_E,18.25,22.11,22.4
2024-02-12,Panel_A,25.93,27.13,30.2
2024-01-15,Panel_E,17.48,20.94,25.3
2024-02-29,Panel_C,26.87,28.56,27.9
2024-02-04,Panel_D,19.06,21.5,27.6
2024-01-21,Panel_C,20.74,25.16,
2024-01-14,Panel_A,21.54,23.49,37.9
2024-01-21,Panel_E,19.67,20.25,36.7
2024-01-18,Panel_D,26.48,28.77,33.9
2024-01-03,Panel_E,19.51,20.34,25.2
2024-02-01,Panel_B,21.61,22.24,20.2
2024-02-21,Panel_B,21.99,23.42,22.2
2024-02-02,Panel_A,,26.29,29.1
2024-01-31,Panel_E,24.28,27.46,39.2
2024-01-01,Panel_C,19.53,20.58,32.0
2024-02-07,Panel_D,20.82,23.51,27.8
2024-01-12,Panel_A,23.35,28.35,23.7
2024-02-04,Panel_A,22.11,26.13,38.7
2024-02-08,Panel_D,19.32,22.58,39.6
2024-02-07,Panel_E,23.35,24.37,27.0
2024-02-08,Panel_E,20.58,24.93,32.7
2024-01-23,Panel_D,,20.98,29.5
2024-01-21,Panel_B,24.18,26.37,39.5
2024-02-12,Panel_C,20.41,25.33,25.4
2024-01-28,Panel_E,21.07,23.29,35.0
2024-02-05,Panel_B,19.51,20.56,36.3
2024-01-13,Panel_A,18.17,23.41,38.5
2024-02-16,Panel_C,,22.89,
2024-01-04,Panel_D,24.99,25.98,
2024-02-24,Panel_A,28.15,29.85,22.5
2024-01-15,Panel_A,23.17,25.49,33.0
2024-02-15,Panel_B,28.18,29.69,36.3
2024-02-17,Panel_E,23.09,29.65,34.6
2024-02-04,Panel_C,22.25,23.76,39.7
2024-02-26,Panel_A,18.17,20.13,23.6
2024-01-28,Panel_D,22.45,26.32,25.9
2024-02-15,Panel_A,23.13,29.82,28.0
2024-02-18,Panel_E,23.19,26.65,27.2
2024-01-05,Panel_C,,21.41,21.5
2024-02-19,Panel_D,21.36,22.32,27.7
2024-02-23,Panel_E,24.98,29.26,22.3
2024-02-21,Panel_A,23.78,25.7,37.5
2024-01-31,Panel_A,24.39,27.77,28.5
2024-02-03,Panel_D,21.14,26.85,38.2
2024-02-24,Panel_C,21.81,25.91,21.1
2024-01-19,Panel_E,18.33,23.76,
2024-01-24,Panel_D,18.59,20.71,20.5
2024-01-18,Panel_B,19.85,25.7,32.3
2024-02-28,Panel_C,24.49,27.16,20.5
2024-02-24,Panel_D,21.82,23.35,20.1
2024-01-23,Panel_B,16.09,21.16,20.8
2024-02-04,Panel_E,28.03,29.7,36.8
